annee,date,latitude,longitude,profondeur_km,magnitude,type_magnitude
2026,2026-06-24T23:15:39.648149Z,-21.1918,55.4985,22.54,0.81,Md
2026,2026-06-24T05:23:04.958618Z,-21.1662,55.5588,16.43,0.91,Md
2026,2026-06-23T02:48:54.393909Z,-20.9525,55.4386,11.67,1.49,Md
2026,2026-06-22T07:26:08.544946Z,-21.1967,55.6916,4.32,0.18,Md
2026,2026-06-18T15:47:27.606404Z,-21.2436,55.7025,6.71,0.69,Md
2026,2026-06-18T15:46:26.098000Z,-21.2467,55.7021,7.04,0.99,Md
2026,2026-06-17T00:54:46.689062Z,-21.0491,55.2988,19.51,1.65,Md
2026,2026-06-16T18:44:33.429629Z,-21.241,55.7134,-0.24,0.74,Md
2026,2026-06-15T19:25:07.973817Z,-21.2458,55.6975,7.18,0.64,Md
2026,2026-06-13T22:54:57.554525Z,-20.9502,55.428,10.29,1.85,Md
2026,2026-06-13T16:33:00.088795Z,-21.2454,55.7012,6.69,0.71,Md
2026,2026-06-13T16:31:13.401345Z,-21.2449,55.6998,6.81,1.06,Md
2026,2026-06-13T15:34:15.499428Z,-21.0189,55.2824,20.79,1.16,Md
2026,2026-06-12T20:59:41.727768Z,-20.9101,55.3113,23.84,1.86,Md
2026,2026-06-12T00:13:37.526785Z,-20.8938,55.6036,22.3,2.39,Md
2026,2026-06-05T06:11:05.197342Z,-21.1323,55.6367,20.93,0.86,Md
2026,2026-05-31T12:44:47.165464Z,-20.9567,55.4352,11.21,1.31,Md
2026,2026-05-31T11:24:13.543340Z,-21.2445,55.692,7.54,0.2,Md
2026,2026-05-29T15:32:02.374772Z,-21.2463,55.7007,6.57,0.57,Md
2026,2026-05-27T03:16:58.672449Z,-21.0261,55.5267,21.35,1.2,Md
2026,2026-05-26T02:50:58.774756Z,-21.2458,55.7062,6.5,0.19,Md
2026,2026-05-25T21:06:10.728827Z,-21.1294,55.5533,12.53,0.55,Md
2026,2026-05-24T09:20:27.856562Z,-21.2485,55.7035,7.16,0.82,Md
2026,2026-05-24T09:14:34.055294Z,-21.2471,55.7026,7.02,0.4,Md
2026,2026-05-23T21:34:05.664964Z,-21.2458,55.7039,7.35,0.56,Md
2026,2026-05-23T14:54:49.569635Z,-21.248,55.6948,6.88,0.59,Md
2026,2026-05-23T06:08:23.961161Z,-21.1171,55.6237,19.05,0.83,Md
2026,2026-05-23T00:30:39.974558Z,-20.9937,55.462,11.4,1.07,Md
2026,2026-05-22T22:52:15.475448Z,-20.9665,55.4352,12.15,1.45,Md
2026,2026-05-22T19:40:10.537019Z,-20.9576,55.4365,11.26,1.49,Md
2026,2026-05-22T15:55:28.110841Z,-21.0341,55.5065,19.34,1.27,Md
2026,2026-05-21T19:47:57.659706Z,-21.0234,55.3761,19.1,0.86,Md
2026,2026-05-20T20:20:38.740217Z,-21.2427,55.7025,6.55,1.03,Md
